"q","biteA","Mean_Annual_Seroprevalence","param1","Persistence","mean_popn_R0","R0_when_q0","Persist_long","Persist_year"
"0.3",0.42,0.821145349574395,0.3,12386,2.67239291489184,2.08265153801022,"yes","yes"
"0.3",0.43,0.821171895562042,0.3,12386,2.727539754115,2.12556908879044,"yes","yes"
"0.3",0.44,0.82118514502813,0.3,12386,2.78283429923163,2.16861767440627,"yes","yes"
"0.3",0.45,0.821192657268919,0.3,12387,2.83827182025985,2.21178994652835,"yes","yes"
"0.4",0.01,0.0181765212967888,0.4,0,0.770650320399412,0.76915604266102,"no","no"
"0.4",0.02,0.0186058741937478,0.4,62,0.77905764277872,0.773281598779576,"no","no"
"0.4",0.03,0.0190980829069949,0.4,70,0.792478945827629,0.780102590867436,"no","no"
"0.4",0.04,0.0196354542761761,0.4,76,0.81023310876589,0.78954945709425,"no","no"
"0.4",0.05,0.0202672954148525,0.4,315,0.831621840400687,0.801530444827193,"no","no"
"0.4",0.06,0.0210683634067978,0.4,322,0.856006494189803,0.815934919957535,"no","no"
"0.4",0.07,0.0224581740469555,0.4,733,0.882871884831679,0.832638576033922,"no","no"
"0.4",0.08,0.0242580847349524,0.4,1072,0.911801238400802,0.851507755221135,"no","no"
"0.4",0.09,0.0271950950069816,0.4,1424,0.942486301602325,0.87240372974769,"no","no"
"0.4",0.1,0.0338220060905037,0.4,2239,0.974811176434031,0.895191743451662,"no","no"
"0.4",0.11,0.0719614582792502,0.4,1622,1.01015492792792,0.919738168511114,"no","no"
"0.4",0.12,0.119581467733021,0.4,6919,1.04854269134284,0.945901431644407,"no","no"
"0.4",0.13,0.398155746328583,0.4,12531,1.11856786703003,0.973557606464564,"yes","no"
"0.4",0.14,0.546405262792056,0.4,12431,1.19660682643177,1.00258721053862,"yes","yes"
"0.4",0.15,0.642894175441203,0.4,12417,1.26388356979831,1.03287735991693,"yes","yes"
"0.4",0.16,0.706354949883429,0.4,12409,1.32906358976249,1.06432099147041,"yes","yes"
"0.4",0.17,0.745505940680366,0.4,12403,1.38966855202932,1.09681648507424,"yes","yes"
"0.4",0.18,0.76964299401266,0.4,12399,1.44617814230676,1.13026805437022,"yes","yes"
"0.4",0.19,0.785049110515584,0.4,12397,1.50008686927596,1.16458586218723,"yes","yes"
"0.4",0.2,0.795277680783222,0.4,12395,1.55260601447062,1.19968907648674,"yes","yes"
"0.4",0.21,0.802294397855674,0.4,12393,1.60445011362706,1.23550556655838,"yes","yes"
"0.4",0.22,0.807224505268879,0.4,12391,1.65602179711274,1.27197313512694,"yes","yes"
"0.4",0.23,0.810757797951893,0.4,12390,1.70754492728822,1.30903735364765,"yes","yes"
"0.4",0.24,0.8133347003138,0.4,12389,1.75914627261669,1.34665051022915,"yes","yes"
"0.4",0.25,0.815241943478979,0.4,12388,1.8108997598662,1.3847696427633,"yes","yes"
"0.4",0.26,0.81667550765541,0.4,12387,1.8628489202574,1.42335616840201,"yes","yes"
"0.4",0.27,0.817766378577129,0.4,12387,1.91501848435617,1.46237453165079,"yes","yes"
"0.4",0.28,0.818600164130202,0.4,12386,1.96742068311983,1.50179196331321,"yes","yes"
"0.4",0.29,0.819244599554184,0.4,12385,2.02006022503616,1.54157895752961,"yes","yes"
"0.4",0.3,0.819746967514933,0.4,12385,2.07293580678209,1.58170794285454,"yes","yes"
"0.4",0.31,0.82014285194922,0.4,12385,2.12604386383713,1.62215408372748,"yes","yes"
"0.4",0.32,0.820449568020146,0.4,12385,2.1793783002926,1.66289408016987,"yes","yes"
"0.4",0.33,0.820694726669983,0.4,12384,2.23293186923938,1.70390739408892,"yes","yes"
"0.4",0.34,0.820883005980905,0.4,12384,2.28669742316102,1.74517499683515,"yes","yes"
"0.4",0.35,0.821031688500742,0.4,12384,2.34066719435187,1.7866789113766,"yes","yes"
"0.4",0.36,0.821148130990352,0.4,12384,2.39483283930431,1.82840361572379,"yes","yes"
"0.4",0.37,0.821232591109389,0.4,12384,2.44918830730562,1.87033382236291,"yes","yes"
"0.4",0.38,0.821297573932595,0.4,12385,2.50372467849808,1.91245665559306,"yes","yes"
"0.4",0.39,0.821344981014768,0.4,12385,2.55843543168198,1.95475958747252,"yes","yes"
"0.4",0.4,0.821376810529364,0.4,12385,2.61331426613141,1.99723108886473,"yes","yes"
"0.4",0.41,0.821392209954555,0.4,12385,2.66835394805289,2.03987364667378,"yes","yes"
"0.4",0.42,0.82140015148429,0.4,12385,2.72356217525519,2.08265153801022,"yes","yes"
"0.4",0.43,0.821399493798998,0.4,12386,2.77890560175004,2.12556908879044,"yes","yes"
"0.4",0.44,0.821391663358835,0.4,12386,2.83439097188044,2.16861767440627,"yes","yes"
"0.4",0.45,0.821374983654291,0.4,12386,2.89001416269014,2.21178994652835,"yes","yes"
"0.5",0.01,0.0182510447804059,0.5,0,0.771700140728561,0.76915604266102,"no","no"
"0.5",0.02,0.0187984887116627,0.5,62,0.782926778723077,0.773281598779576,"no","no"
"0.5",0.03,0.0193444126418588,0.5,70,0.800223803922206,0.780102590867436,"no","no"
"0.5",0.04,0.0200541963067639,0.5,313,0.822222242136386,0.78954945709425,"no","no"
"0.5",0.05,0.0208656842153829,0.5,726,0.84776494212937,0.801530444827193,"no","no"
"0.5",0.06,0.0220858072407595,0.5,1066,0.875996738343264,0.815934919957535,"no","no"
"0.5",0.07,0.0241673284546796,0.5,1409,0.906317297052428,0.832638576033922,"no","no"
"0.5",0.08,0.0283094592541946,0.5,2220,0.938368793409054,0.851507755221135,"no","no"
