"q","biteA","Mean_Annual_Seroprevalence","R0_when_q0","param1","Persistence","mean_popn_R0","Persist_long","Persist_year"
"0.5",0.17,0.353110189368942,0.90093141751557,0.5,12490,1.07171389402715,"yes","no"
"0.5",0.18,0.479809980601185,0.920280770936715,0.5,12430,1.12278288036089,"yes","no"
"0.5",0.19,0.565628771250937,0.940324453229364,0.5,12420,1.17009899517323,"yes","no"
"0.5",0.2,0.6293677992566,0.961000848794107,0.5,12414,1.21663121838123,"yes","no"
"0.5",0.21,0.677069325058696,0.982274876376277,0.5,12408,1.26169470594948,"yes","no"
"0.5",0.22,0.711478433070923,1.00411126087694,0.5,12404,1.30474463237001,"yes","yes"
"0.5",0.23,0.736386873891082,1.02647562694986,0.5,12400,1.34572122078584,"yes","yes"
"0.5",0.24,0.75465019107283,1.04933546146558,0.5,12397,1.38500900316066,"yes","yes"
"0.5",0.25,0.76830894863054,1.07265919314101,0.5,12396,1.42307168560005,"yes","yes"
"0.5",0.26,0.778731412613467,1.09641712841973,0.5,12394,1.46030163822298,"yes","yes"
"0.5",0.27,0.786841169500395,1.1205803954871,0.5,12393,1.49699449545086,"yes","yes"
"0.5",0.28,0.793245043001575,1.14512174591402,0.5,12392,1.53335409470596,"yes","yes"
"0.5",0.29,0.79837220872904,1.170015361714,0.5,12391,1.56951829014862,"yes","yes"
"0.5",0.3,0.802510546285519,1.19523645769521,0.5,12390,1.60557922959378,"yes","yes"
"0.5",0.31,0.805877125233129,1.22076218998543,0.5,12389,1.64160220821003,"yes","yes"
"0.5",0.32,0.808628323411218,1.24657220602298,0.5,12388,1.67763061923513,"yes","yes"
"0.5",0.33,0.810882300219451,1.27264732238755,0.5,12387,1.71369195848659,"yes","yes"
"0.5",0.34,0.812734054524474,1.29897098410439,0.5,12387,1.74980574737535,"yes","yes"
"0.5",0.35,0.814255801794891,1.32552801765679,0.5,12386,1.78598403992139,"yes","yes"
"0.5",0.36,0.815505398184473,1.35230507454283,0.5,12386,1.82223586530356,"yes","yes"
"0.5",0.37,0.816540157453049,1.37928946696487,0.5,12385,1.85856710979558,"yes","yes"
"0.5",0.38,0.8173985371366,1.40647006871096,0.5,12385,1.89498341737962,"yes","yes"
"0.5",0.39,0.818108195213101,1.4338365665043,0.5,12384,1.93148691675179,"yes","yes"
"0.5",0.4,0.818699359567408,1.4613788246518,0.5,12384,1.968081152933,"yes","yes"
"0.5",0.41,0.819190758981659,1.48908778118075,0.5,12384,2.00476728510394,"yes","yes"
"0.5",0.42,0.819604816059828,1.51695463485094,0.5,12384,2.04154614551607,"yes","yes"
"0.5",0.43,0.819948530367792,1.54497158036142,0.5,12384,2.07841845786939,"yes","yes"
"0.5",0.44,0.820237941267432,1.57313017247125,0.5,12383,2.11538321421181,"yes","yes"
"0.5",0.45,0.820483042363363,1.60142386834724,0.5,12383,2.15244007543891,"yes","yes"
"0.6",0.01,0.0180318797536198,0.722451859693402,0.6,0,0.725772776492607,"no","no"
"0.6",0.02,0.0183508040225007,0.724540522899575,0.6,0,0.736641001995948,"no","no"
"0.6",0.03,0.0186358985599454,0.728004631065874,0.6,0,0.752134633982901,"no","no"
"0.6",0.04,0.0189789260851376,0.732825146594599,0.6,60,0.770505540425888,"no","no"
"0.6",0.05,0.0193094940000721,0.73897555868539,0.6,65,0.790706557522861,"no","no"
"0.6",0.06,0.019658347936983,0.746423119602634,0.6,69,0.812147736229145,"no","no"
"0.6",0.07,0.0201435891088218,0.755129812235721,0.6,313,0.834494165026936,"no","no"
"0.6",0.08,0.0207723635516511,0.765052739956296,0.6,728,0.857541790673005,"no","no"
"0.6",0.09,0.0217596481372528,0.776145617168594,0.6,1069,0.881166432208581,"no","no"
"0.6",0.1,0.023379502826483,0.788359308572485,0.6,1422,0.905288496359819,"no","no"
"0.6",0.11,0.0272926953353891,0.801643097897471,0.6,2556,0.929907863317749,"no","no"
"0.6",0.12,0.0373111082835693,0.815945036703529,0.6,4354,0.95514135079254,"no","no"
"0.6",0.13,0.0813052900627851,0.831213167082112,0.6,7663,0.982173737494698,"no","no"
"0.6",0.14,0.23036694256779,0.847395777415818,0.6,12531,1.01658781745505,"yes","no"
"0.6",0.15,0.38379835834137,0.864442165754515,0.6,12436,1.06497215113361,"yes","no"
"0.6",0.16,0.495911506367081,0.882303289291038,0.6,12422,1.11118728800361,"yes","no"
"0.6",0.17,0.578354253452447,0.90093141751557,0.6,12414,1.15757670311836,"yes","no"
"0.6",0.18,0.640079703688298,0.920280770936715,0.6,12408,1.20380841201467,"yes","no"
"0.6",0.19,0.686358123106064,0.940324453229364,0.6,12403,1.24792400403193,"yes","no"
"0.6",0.2,0.718025997282688,0.961000848794107,0.6,12399,1.28947622753434,"yes","no"
"0.6",0.21,0.740645174043265,0.982274876376277,0.6,12396,1.32914608913788,"yes","no"
"0.6",0.22,0.75733913956423,1.00411126087694,0.6,12394,1.36742003986229,"yes","yes"
"0.6",0.23,0.769984712383046,1.02647562694986,0.6,12392,1.40474783395998,"yes","yes"
"0.6",0.24,0.779771880205357,1.04933546146558,0.6,12391,1.44146463653382,"yes","yes"
"0.6",0.25,0.787483233053304,1.07265919314101,0.6,12390,1.47780674735664,"yes","yes"
